Customer_ID,Age,Gender,Annual_Income,Employment_Status,Credit_Score,Total_Debt,Debt_to_Income_Ratio,Credit_Card_Limit,Credit_Utilization_Rate,Late_Payments_30_Days,Late_Payments_90_Days,Default_Status,Loan_Purpose
CUST-1001,37,Male,56413.53,Employed,659,15745.02,0.2791,11312.37,0.4354,1,0,0,Auto
CUST-1002,37,Male,56201.87,Self-Employed,559,15753.38,0.2803,9936.84,0.5807,2,1,1,Personal
CUST-1003,31,Male,82216.42,Employed,690,6445.77,0.0784,15076.08,0.2706,0,0,0,Auto
CUST-1004,47,Male,58707.8,Employed,614,16109.42,0.2744,5691.3,0.5814,1,0,0,Personal
CUST-1005,29,Female,37960.71,Unemployed,652,10211.43,0.269,7474.62,0.4217,0,0,0,Auto
CUST-1006,31,Male,123320.87,Employed,687,16759.31,0.1359,12939.26,0.2384,0,0,0,Small Business
CUST-1007,32,Female,71487.48,Employed,675,16613.69,0.2324,13962.9,0.3018,0,0,0,Personal
CUST-1008,51,Male,60566.99,Employed,667,11852.96,0.1957,8025.23,0.3413,0,0,0,Small Business
CUST-1009,33,Female,55478.63,Employed,601,21836.39,0.3936,9503.18,0.44,1,1,0,Personal
CUST-1010,39,Male,35692.45,Self-Employed,595,17043.14,0.4775,5803.48,0.5929,0,0,0,Auto
CUST-1011,26,Female,174621.92,Employed,700,63213.14,0.362,21383.73,0.3128,0,0,0,Debt Consolidation
CUST-1012,35,Female,27137.93,Student,638,3321.68,0.1224,4668.57,0.223,0,0,0,Home Improvement
CUST-1013,39,Female,30227.07,Employed,740,6154.23,0.2036,6864.41,0.4049,0,0,0,Debt Consolidation
CUST-1014,44,Male,37622.06,Unemployed,582,21151.12,0.5622,6574.33,0.6342,1,0,0,Small Business
CUST-1015,54,Male,67892.31,Employed,593,24393.71,0.3593,8829.05,0.6081,0,0,0,Debt Consolidation
CUST-1016,36,Male,26948.17,Employed,657,9315.98,0.3457,5097.91,0.4804,0,0,0,Auto
CUST-1017,62,Female,133959.84,Self-Employed,487,75325.62,0.5623,8330.23,0.6296,2,1,1,Personal
CUST-1018,41,Male,41922.19,Student,551,5906.84,0.1409,4464.2,0.464,0,0,0,Auto
CUST-1019,47,Male,70907.71,Employed,489,22265.02,0.314,6538.78,0.6911,4,1,1,Auto
CUST-1020,42,Female,128325.76,Self-Employed,718,26640.43,0.2076,17199.58,0.3413,0,0,0,Personal
CUST-1021,34,Male,40907.48,Student,577,17107.51,0.4182,5824.83,0.59,2,1,0,Debt Consolidation
CUST-1022,34,Female,31050.34,Unemployed,593,16226.91,0.5226,6080.32,0.5812,6,3,1,Personal
CUST-1023,49,Male,99828.98,Self-Employed,669,39711.97,0.3978,18465.83,0.409,0,0,0,Debt Consolidation
CUST-1024,38,Male,90999.65,Employed,668,39093.45,0.4296,10174.63,0.7008,0,0,1,Auto
CUST-1025,57,Female,108077.77,Self-Employed,728,32942.1,0.3048,19342.58,0.4893,0,0,0,Home Improvement
CUST-1026,41,Male,49302.75,Employed,570,4565.43,0.0926,9800.79,0.4096,0,0,0,Home Improvement
CUST-1027,57,Female,53905.05,Employed,711,22958.16,0.4259,12172.23,0.3742,0,0,0,Home Improvement
CUST-1028,24,Male,75038.81,Employed,600,23577.19,0.3142,9453.67,0.4245,1,1,0,Debt Consolidation
CUST-1029,36,Male,137636.58,Self-Employed,656,46149.55,0.3353,25450.91,0.2271,2,0,0,Personal
CUST-1030,24,Male,85523.0,Self-Employed,643,31874.42,0.3727,8010.4,0.4642,0,0,0,Auto
CUST-1031,54,Male,46368.68,Employed,737,12621.55,0.2722,7978.84,0.4702,0,0,0,Auto
CUST-1032,25,Male,30913.1,Unemployed,617,12569.27,0.4066,7735.5,0.6521,2,1,0,Small Business
CUST-1033,30,Female,37608.0,Employed,648,10293.31,0.2737,9457.51,0.5762,1,0,0,Auto
CUST-1034,35,Female,53170.25,Employed,609,10745.71,0.2021,5512.57,0.485,0,0,0,Debt Consolidation
CUST-1035,50,Female,87084.68,Self-Employed,760,16937.97,0.1945,17590.55,0.3332,0,0,0,Home Improvement
CUST-1036,42,Female,137962.3,Employed,721,33083.36,0.2398,29646.21,0.4305,0,0,0,Auto
CUST-1037,24,Female,102310.6,Self-Employed,501,19142.31,0.1871,8557.86,0.6793,0,0,0,Small Business
CUST-1038,39,Female,138806.87,Self-Employed,608,47569.11,0.3427,16995.89,0.5361,0,0,0,Debt Consolidation
CUST-1039,48,Male,28056.11,Unemployed,578,12614.03,0.4496,4658.82,0.7658,6,0,0,Debt Consolidation
CUST-1040,46,Female,25000.0,Employed,652,5412.5,0.2165,7420.05,0.5385,0,0,0,Auto
CUST-1041,48,Male,44406.7,Employed,701,10719.78,0.2414,9581.9,0.4606,0,0,0,Auto
CUST-1042,48,Female,59156.61,Self-Employed,630,17291.48,0.2923,8088.89,0.4473,0,0,0,Home Improvement
CUST-1043,28,Male,136912.42,Employed,664,38677.76,0.2825,11780.16,0.5458,0,0,0,Debt Consolidation
CUST-1044,38,Female,85894.6,Employed,555,25502.11,0.2969,8168.11,0.6776,1,0,0,Auto
CUST-1045,38,Female,48685.26,Employed,647,12799.35,0.2629,7652.06,0.5605,0,0,0,Debt Consolidation
CUST-1046,36,Female,115240.47,Employed,737,33316.02,0.2891,14566.44,0.274,0,0,0,Auto
CUST-1047,36,Female,52696.09,Employed,720,3477.94,0.066,8178.31,0.205,0,0,0,Small Business
CUST-1048,24,Female,58751.67,Self-Employed,778,8801.0,0.1498,12154.1,0.2713,0,0,0,Debt Consolidation
CUST-1049,57,Male,99934.14,Employed,547,22894.91,0.2291,9701.54,0.4983,1,1,0,Personal
CUST-1050,49,Male,114735.57,Employed,721,5736.78,0.05,22837.46,0.3347,0,0,0,Home Improvement
CUST-1051,41,Male,145094.38,Self-Employed,600,62709.79,0.4322,16411.55,0.4753,0,0,0,Personal
CUST-1052,36,Male,45094.12,Employed,750,15760.39,0.3495,7914.38,0.3435,0,0,0,Auto
CUST-1053,43,Male,43704.94,Employed,728,9798.65,0.2242,8552.17,0.2255,0,0,0,Personal
CUST-1054,33,Male,37549.7,Employed,646,9838.02,0.262,8920.23,0.4939,0,0,0,Small Business
CUST-1055,25,Male,45776.23,Self-Employed,664,13636.74,0.2979,6971.13,0.3415,0,0,0,Auto
CUST-1056,45,Female,148939.23,Employed,487,40347.64,0.2709,13759.43,0.754,0,0,0,Home Improvement
CUST-1057,38,Male,81886.01,Self-Employed,650,26252.65,0.3206,12202.02,0.4604,0,0,0,Small Business
CUST-1058,46,Male,71090.23,Employed,535,12376.81,0.1741,7967.97,0.3474,6,0,1,Debt Consolidation
CUST-1059,42,Female,33642.22,Employed,547,11243.23,0.3342,4598.43,0.5671,3,0,0,Personal
CUST-1060,51,Male,142872.86,Employed,632,7143.64,0.05,27556.65,0.2983,1,0,0,Home Improvement
CUST-1061,25,Male,25773.06,Self-Employed,494,11786.02,0.4573,4943.04,0.6021,1,0,0,Small Business
CUST-1062,43,Female,34351.64,Student,570,10528.78,0.3065,6124.92,0.4539,0,0,0,Auto
CUST-1063,45,Male,37624.66,Self-Employed,730,6140.34,0.1632,6577.16,0.2303,0,0,0,Personal
CUST-1064,36,Female,61739.49,Employed,621,10890.85,0.1764,5895.4,0.4917,6,0,0,Home Improvement
CUST-1065,58,Female,57010.69,Self-Employed,559,13944.81,0.2446,6658.33,0.5564,3,0,0,Home Improvement
CUST-1066,36,Male,163773.14,Self-Employed,674,51408.39,0.3139,29366.76,0.3245,0,0,0,Small Business
CUST-1067,31,Male,68932.7,Self-Employed,565,37120.26,0.5385,11313.2,0.5495,6,2,1,Personal
CUST-1068,42,Female,41113.85,Self-Employed,721,11191.19,0.2722,5771.26,0.2234,0,0,0,Personal
CUST-1069,27,Female,56308.18,Employed,557,14369.85,0.2552,8354.11,0.5015,4,3,1,Auto
CUST-1070,32,Female,141015.94,Self-Employed,695,43164.98,0.3061,25354.9,0.5958,0,0,0,Debt Consolidation
CUST-1071,38,Female,31443.61,Employed,669,8307.4,0.2642,7259.49,0.4248,0,0,0,Home Improvement
CUST-1072,25,Male,88026.83,Employed,786,25017.23,0.2842,18650.82,0.3812,0,0,0,Auto
CUST-1073,36,Female,107262.04,Employed,586,35846.97,0.3342,11757.43,0.6366,0,0,0,Small Business
CUST-1074,30,Female,67814.0,Employed,700,19415.15,0.2863,10213.25,0.4123,0,0,0,Small Business
CUST-1075,36,Female,40566.23,Unemployed,729,9999.58,0.2465,10709.4,0.5194,0,0,0,Auto
CUST-1076,28,Male,44257.13,Employed,520,8891.26,0.2009,7136.68,0.4076,1,0,0,Auto
CUST-1077,54,Male,128199.31,Employed,680,36113.75,0.2817,21166.66,0.22,0,0,0,Personal
CUST-1078,34,Female,60533.76,Employed,567,28801.96,0.4758,7101.38,0.7801,6,0,1,Auto
CUST-1079,39,Female,56697.45,Employed,548,23472.74,0.414,5979.83,0.5469,2,0,0,Auto
CUST-1080,31,Female,161718.49,Self-Employed,730,57216.0,0.3538,23870.72,0.3653,0,0,0,Auto
CUST-1081,44,Female,76444.97,Employed,532,26113.6,0.3416,11079.0,0.4577,2,1,0,Small Business
CUST-1082,47,Male,32410.6,Unemployed,381,16856.75,0.5201,2848.43,0.7576,0,0,1,Personal
CUST-1083,27,Male,137870.64,Employed,619,43939.37,0.3187,20952.29,0.5464,1,0,0,Auto
CUST-1084,45,Female,36580.8,Employed,608,11537.58,0.3154,6900.92,0.5537,1,1,0,Debt Consolidation
CUST-1085,34,Male,56977.39,Employed,629,14324.12,0.2514,7698.36,0.5293,1,0,0,Personal
CUST-1086,48,Female,86219.18,Employed,622,4310.96,0.05,13273.18,0.4042,0,0,0,Small Business
CUST-1087,36,Male,43194.02,Unemployed,589,15644.87,0.3622,6375.12,0.53,0,0,0,Personal
CUST-1088,53,Female,33489.99,Employed,659,12381.25,0.3697,8433.8,0.5766,0,0,0,Home Improvement
CUST-1089,47,Female,44917.12,Employed,602,13057.41,0.2907,7208.74,0.476,0,0,0,Debt Consolidation
CUST-1090,43,Male,113460.55,Employed,729,29613.2,0.261,21076.32,0.2643,0,0,0,Home Improvement
CUST-1091,56,Male,26028.92,Unemployed,428,10252.79,0.3939,3180.0,0.8045,3,0,0,Personal
CUST-1092,27,Female,108748.59,Employed,774,5437.43,0.05,26377.11,0.2562,0,0,0,Auto
CUST-1093,37,Male,30252.74,Student,630,8029.08,0.2654,7353.28,0.436,0,0,0,Debt Consolidation
CUST-1094,42,Female,42283.09,Employed,666,5530.63,0.1308,9483.13,0.519,0,0,0,Debt Consolidation
CUST-1095,39,Male,52737.52,Employed,588,9292.35,0.1762,6993.27,0.4951,0,0,0,Personal
CUST-1096,33,Female,61152.69,Self-Employed,617,13741.01,0.2247,5552.3,0.5634,1,1,0,Debt Consolidation
CUST-1097,34,Female,67650.87,Employed,493,21343.85,0.3155,7496.85,0.6505,6,0,1,Auto
CUST-1098,36,Male,52912.51,Self-Employed,654,21344.91,0.4034,11196.14,0.5131,0,0,0,Personal
CUST-1099,43,Female,47960.61,Self-Employed,772,17261.02,0.3599,11704.7,0.379,0,0,0,Debt Consolidation
CUST-1100,35,Male,41289.8,Student,608,9116.79,0.2208,4661.08,0.5149,0,0,0,Debt Consolidation
CUST-1101,44,Female,34291.04,Employed,651,3912.61,0.1141,8544.14,0.3395,0,0,0,Personal
CUST-1102,34,Male,50581.49,Employed,540,8305.48,0.1642,6772.9,0.6363,2,2,0,Debt Consolidation
CUST-1103,44,Male,25000.0,Employed,531,7430.0,0.2972,5433.87,0.5594,3,3,1,Small Business
CUST-1104,46,Female,49886.7,Self-Employed,620,15360.11,0.3079,10210.73,0.3687,0,0,0,Personal
CUST-1105,36,Female,36957.72,Unemployed,587,7568.94,0.2048,3735.86,0.4682,0,0,0,Auto
CUST-1106,31,Male,36355.64,Self-Employed,480,12270.03,0.3375,4327.42,0.787,1,0,0,Personal
CUST-1107,29,Female,43248.96,Unemployed,431,23220.37,0.5369,3439.8,0.8457,6,3,1,Debt Consolidation
CUST-1108,41,Female,70279.14,Employed,544,20205.25,0.2875,9917.08,0.465,3,1,0,Auto
CUST-1109,21,Male,93103.17,Employed,669,17577.88,0.1888,16319.68,0.1586,0,0,0,Home Improvement
CUST-1110,32,Male,133092.91,Employed,536,63352.23,0.476,18592.2,0.6212,6,0,1,Auto
CUST-1111,48,Male,40247.81,Self-Employed,640,18755.48,0.466,6530.94,0.472,1,0,0,Auto
CUST-1112,21,Male,93531.49,Employed,784,4676.57,0.05,16772.17,0.1914,0,0,0,Debt Consolidation
CUST-1113,46,Female,37999.21,Unemployed,571,11369.36,0.2992,5997.9,0.5315,2,1,1,Personal
CUST-1114,33,Male,35350.96,Student,515,13659.61,0.3864,3635.03,0.6429,1,0,0,Small Business
CUST-1115,53,Male,31645.2,Self-Employed,571,11085.31,0.3503,5170.23,0.5714,4,2,1,Auto
CUST-1116,41,Male,35835.37,Employed,703,8991.09,0.2509,7401.77,0.3813,0,0,0,Debt Consolidation
CUST-1117,41,Female,81366.72,Employed,699,12213.14,0.1501,17890.55,0.4981,0,0,0,Small Business
CUST-1118,40,Female,52373.77,Employed,686,12936.32,0.247,12361.28,0.3855,0,0,0,Auto
CUST-1119,47,Male,78963.27,Self-Employed,713,25931.54,0.3284,11207.83,0.2229,0,0,0,Small Business
CUST-1120,46,Female,46185.32,Employed,606,8179.42,0.1771,8352.44,0.5675,0,0,0,Home Improvement
CUST-1121,44,Male,50964.97,Employed,692,4026.23,0.079,7048.14,0.4134,0,0,0,Personal
CUST-1122,25,Female,79314.71,Employed,743,21526.01,0.2714,13745.92,0.2659,0,0,0,Personal
CUST-1123,21,Male,35967.77,Student,512,17753.69,0.4936,3171.11,0.5782,1,1,0,Personal
CUST-1124,42,Male,81736.25,Employed,653,4086.81,0.05,9354.59,0.3648,0,0,0,Home Improvement
CUST-1125,33,Male,165962.03,Employed,695,42685.43,0.2572,18507.68,0.5969,0,0,0,Personal
CUST-1126,38,Female,25000.0,Self-Employed,582,11020.0,0.4408,6242.29,0.4574,0,0,0,Auto
CUST-1127,56,Male,56610.69,Employed,734,13105.37,0.2315,10591.37,0.2376,0,0,0,Auto
CUST-1128,34,Female,28073.13,Employed,605,7981.19,0.2843,7135.78,0.4765,0,0,0,Auto
CUST-1129,51,Female,35044.58,Employed,633,7096.53,0.2025,7323.39,0.517,1,0,0,Home Improvement
CUST-1130,28,Female,74465.46,Employed,594,14006.95,0.1881,6892.45,0.3966,0,0,0,Auto
CUST-1131,27,Male,45529.29,Self-Employed,613,9078.54,0.1994,9250.35,0.4874,2,0,0,Home Improvement
CUST-1132,36,Male,193036.19,Self-Employed,716,29148.46,0.151,24599.85,0.3194,0,0,0,Small Business
CUST-1133,42,Male,65615.61,Employed,570,19842.16,0.3024,7251.51,0.4262,2,0,0,Auto
CUST-1134,65,Male,87635.75,Employed,707,21277.96,0.2428,21158.84,0.423,0,0,0,Home Improvement
CUST-1135,53,Male,45376.88,Employed,538,13499.62,0.2975,5827.16,0.82,6,2,1,Debt Consolidation
CUST-1136,42,Female,54199.59,Self-Employed,579,21457.62,0.3959,5355.3,0.5752,2,1,1,Auto
CUST-1137,35,Male,34347.57,Student,625,11056.48,0.3219,6006.35,0.3795,1,0,0,Personal
CUST-1138,35,Female,74010.44,Employed,619,19301.92,0.2608,7432.74,0.3812,0,0,0,Auto
CUST-1139,40,Female,127315.76,Employed,850,19644.82,0.1543,23744.19,0.1452,0,0,0,Auto
CUST-1140,48,Male,63771.09,Employed,518,13729.92,0.2153,8789.84,0.6867,0,0,0,Auto
CUST-1141,40,Female,35276.15,Self-Employed,640,10251.25,0.2906,6834.96,0.3094,2,0,0,Debt Consolidation
CUST-1142,29,Male,72656.4,Employed,528,28532.17,0.3927,11425.7,0.6186,1,0,0,Small Business
CUST-1143,35,Male,35255.53,Employed,653,3603.12,0.1022,8758.9,0.3631,0,0,0,Personal
CUST-1144,41,Female,84421.6,Employed,850,4888.01,0.0579,23465.95,0.156,0,0,0,Auto
CUST-1145,28,Female,25000.0,Self-Employed,775,9157.5,0.3663,7410.93,0.1448,0,0,0,Home Improvement
CUST-1146,31,Male,69246.6,Employed,670,11661.13,0.1684,11492.03,0.5378,0,0,0,Debt Consolidation
CUST-1147,49,Female,67895.08,Self-Employed,676,17062.03,0.2513,12219.11,0.5302,0,0,0,Home Improvement
CUST-1148,58,Male,41988.49,Employed,633,7243.01,0.1725,5394.23,0.4653,3,0,0,Debt Consolidation
CUST-1149,24,Male,68495.85,Employed,632,23692.71,0.3459,8494.26,0.3538,0,0,0,Personal
CUST-1150,52,Male,63239.32,Employed,588,35913.61,0.5679,9088.79,0.7998,1,1,0,Personal
CUST-1151,31,Female,57049.1,Employed,499,9122.15,0.1599,5912.22,0.5063,0,0,0,Small Business
CUST-1152,51,Male,87093.24,Employed,466,31414.53,0.3607,4825.94,0.598,3,2,1,Personal
CUST-1153,41,Male,46864.5,Employed,643,7582.68,0.1618,10786.19,0.2265,0,0,0,Personal
CUST-1154,43,Male,190265.23,Employed,682,18436.7,0.0969,25920.9,0.2538,0,0,0,Home Improvement
CUST-1155,41,Female,76894.11,Self-Employed,620,14071.62,0.183,7646.02,0.5156,2,0,0,Auto
CUST-1156,33,Female,57355.64,Employed,676,16128.41,0.2812,9761.71,0.2593,0,0,0,Auto
CUST-1157,37,Female,26453.37,Self-Employed,659,7846.07,0.2966,7324.05,0.3634,0,0,0,Debt Consolidation
CUST-1158,35,Male,35365.13,Employed,717,7363.02,0.2082,5868.19,0.4716,0,0,0,Small Business
CUST-1159,49,Female,121080.05,Employed,535,22993.1,0.1899,14080.33,0.6568,1,1,1,Auto
CUST-1160,58,Female,54374.49,Employed,514,18666.76,0.3433,5970.62,0.6339,1,0,1,Debt Consolidation
CUST-1161,50,Female,73764.45,Self-Employed,481,33828.38,0.4586,4321.13,0.6957,5,2,1,Small Business
CUST-1162,22,Female,50484.96,Employed,570,14145.89,0.2802,9188.01,0.4879,1,0,0,Home Improvement
CUST-1163,51,Female,58052.12,Employed,663,25351.36,0.4367,13071.87,0.4379,0,0,0,Small Business
CUST-1164,30,Male,122896.0,Self-Employed,626,51862.11,0.422,11408.4,0.5381,0,0,0,Personal
CUST-1165,27,Male,101573.96,Employed,601,39989.67,0.3937,8785.76,0.5248,2,0,0,Personal
CUST-1166,37,Male,37099.39,Unemployed,510,15433.35,0.416,6177.46,0.6565,1,1,0,Personal
CUST-1167,62,Female,67785.16,Employed,638,5761.74,0.085,14144.2,0.3866,1,0,0,Personal
CUST-1168,29,Female,52267.35,Employed,703,16051.3,0.3071,12484.27,0.3474,0,0,0,Personal
CUST-1169,31,Female,86266.5,Employed,646,19927.56,0.231,13629.85,0.4385,1,0,0,Auto
CUST-1170,30,Male,102998.29,Self-Employed,628,34669.22,0.3366,17379.48,0.3903,0,0,0,Personal
CUST-1171,36,Female,36624.62,Self-Employed,825,8266.18,0.2257,10056.69,0.4416,0,0,0,Home Improvement
CUST-1172,47,Female,77620.8,Employed,662,20460.84,0.2636,8348.8,0.5572,0,0,0,Small Business
CUST-1173,51,Male,64599.19,Employed,578,17054.19,0.264,10668.42,0.5894,0,0,0,Home Improvement
CUST-1174,24,Male,63340.55,Employed,747,12889.8,0.2035,14349.36,0.4398,0,0,0,Personal
CUST-1175,46,Female,59862.98,Employed,550,7680.42,0.1283,8171.97,0.4235,1,1,0,Small Business
CUST-1176,47,Male,137913.4,Employed,558,43401.35,0.3147,17402.92,0.7809,6,2,1,Auto
CUST-1177,61,Male,75889.37,Employed,532,16080.96,0.2119,9689.26,0.6127,6,3,1,Personal
CUST-1178,41,Female,39483.27,Unemployed,349,17660.87,0.4473,2699.64,0.8633,6,3,1,Debt Consolidation
CUST-1179,31,Female,39709.65,Employed,635,14017.51,0.353,8267.91,0.4656,2,0,0,Home Improvement
CUST-1180,44,Female,76753.81,Self-Employed,687,29404.38,0.3831,10580.44,0.5642,0,0,0,Debt Consolidation
CUST-1181,35,Male,36446.52,Employed,596,11130.77,0.3054,6633.9,0.5533,0,0,1,Small Business
CUST-1182,23,Female,105436.06,Self-Employed,832,8719.56,0.0827,22792.83,0.1841,0,0,0,Personal
CUST-1183,42,Male,38345.09,Employed,672,11699.09,0.3051,6470.76,0.4878,0,0,0,Home Improvement
CUST-1184,39,Male,69256.96,Self-Employed,528,35106.35,0.5069,7513.06,0.723,2,0,1,Small Business
CUST-1185,25,Male,88831.52,Employed,635,19045.48,0.2144,13109.72,0.3504,0,0,0,Small Business
CUST-1186,45,Female,53790.44,Employed,594,8434.34,0.1568,10366.79,0.4537,2,0,0,Small Business
CUST-1187,28,Male,63183.47,Employed,753,10368.41,0.1641,9327.18,0.1555,0,0,0,Personal
CUST-1188,57,Male,39760.93,Employed,649,6218.61,0.1564,9271.3,0.4002,0,0,0,Personal
CUST-1189,35,Female,144080.47,Self-Employed,655,25948.89,0.1801,28392.9,0.5277,1,0,0,Auto
CUST-1190,24,Male,47567.8,Employed,529,19445.72,0.4088,6598.41,0.6134,2,0,0,Debt Consolidation
CUST-1191,40,Female,50399.96,Employed,714,12605.03,0.2501,9460.13,0.5042,0,0,0,Personal
CUST-1192,54,Male,74664.76,Employed,573,11976.23,0.1604,8261.76,0.5057,3,0,0,Home Improvement
CUST-1193,45,Female,44765.99,Employed,568,18743.52,0.4187,5601.84,0.616,4,3,1,Debt Consolidation
CUST-1194,42,Male,35476.29,Employed,570,10738.67,0.3027,7055.31,0.4653,3,3,1,Auto
CUST-1195,28,Female,104395.51,Employed,602,23749.98,0.2275,9865.36,0.4198,0,0,0,Home Improvement
CUST-1196,34,Male,69087.55,Employed,544,20995.71,0.3039,11683.64,0.6057,1,0,0,Auto
CUST-1197,44,Male,45176.1,Employed,637,7101.68,0.1572,8392.35,0.525,0,0,0,Small Business
